tic,time,open,high,low,close,volume,day
688567.sh,2021-08-17,41.5,43.18,39.26,40.2,172967,1
688567.sh,2021-08-18,40.62,41.2,38.4,38.65,147958,2
688567.sh,2021-08-19,39.0,40.56,37.65,39.3,170696,3
688567.sh,2021-08-20,39.0,39.4,35.6,36.6,256294,4
688567.sh,2021-08-23,36.6,37.47,36.35,37.2,143927,0
688567.sh,2021-08-24,37.1,39.32,37.09,38.43,141338,1
688567.sh,2021-08-25,38.44,38.89,36.8,38.68,135317,2
688567.sh,2021-08-26,38.18,39.28,37.07,37.07,108156,3
688567.sh,2021-08-27,37.05,37.76,35.88,37.52,115874,4
688567.sh,2021-08-30,37.5,40.44,37.09,39.84,200678,0
688567.sh,2021-08-31,39.55,40.3,38.82,39.75,115910,1
688567.sh,2021-09-01,39.5,41.49,38.27,39.56,138785,2
688567.sh,2021-09-02,39.46,41.0,38.88,40.05,101667,3
688567.sh,2021-09-03,39.88,40.05,37.5,37.99,149484,4
688567.sh,2021-09-06,38.2,38.49,36.61,37.88,86885,0
688567.sh,2021-09-07,38.34,39.58,37.49,38.7,87930,1
688567.sh,2021-09-08,38.33,38.99,37.16,37.73,91415,2
688567.sh,2021-09-09,37.45,37.84,35.38,35.88,145912,3
688567.sh,2021-09-10,35.8,36.15,34.66,34.95,113495,4
688567.sh,2021-09-13,35.29,35.38,33.68,34.0,89321,0
688567.sh,2021-09-14,34.09,36.0,34.09,34.77,96973,1
688567.sh,2021-09-15,34.93,34.93,33.65,33.96,69391,2
688567.sh,2021-09-16,34.13,34.13,32.37,32.5,94872,3
688567.sh,2021-09-17,33.66,34.49,32.0,34.49,95607,4
688567.sh,2021-09-22,33.95,34.23,33.09,33.26,64918,2
688567.sh,2021-09-23,33.78,33.8,32.65,33.15,53581,3
688567.sh,2021-09-24,33.16,34.07,32.88,33.14,54362,4
688567.sh,2021-09-27,33.21,33.48,30.0,31.4,149191,0
688567.sh,2021-09-28,31.08,32.12,31.08,31.6,43229,1
688567.sh,2021-09-29,31.2,31.79,30.02,30.26,59090,2
688567.sh,2021-09-30,30.65,30.88,30.0,30.6,73695,3
688567.sh,2021-10-08,31.58,31.83,30.77,31.11,47315,4
688567.sh,2021-10-11,31.25,31.55,30.44,30.85,36212,0
688567.sh,2021-10-12,30.86,31.24,30.03,31.13,44503,1
688567.sh,2021-10-13,31.15,32.84,30.9,32.3,75033,2
688567.sh,2021-10-14,32.25,32.81,31.86,32.4,43937,3
688567.sh,2021-10-15,32.41,33.5,32.1,32.65,58387,4
688567.sh,2021-10-18,32.7,34.0,32.65,33.29,58223,0
688567.sh,2021-10-19,33.45,34.22,32.55,32.76,61055,1
688567.sh,2021-10-20,32.78,33.5,32.39,32.81,65381,2
688567.sh,2021-10-21,32.49,33.15,32.12,32.35,46484,3
688567.sh,2021-10-22,32.2,32.6,31.8,31.8,41472,4
688567.sh,2021-10-25,31.91,34.88,31.7,34.31,127815,0
688567.sh,2021-10-26,34.7,35.7,33.77,34.0,82583,1
688567.sh,2021-10-27,34.0,35.25,33.84,34.24,86090,2
688567.sh,2021-10-28,33.95,34.79,32.8,32.99,69675,3
688567.sh,2021-10-29,32.85,33.59,31.76,33.41,83546,4
688567.sh,2021-11-01,32.8,35.78,32.71,35.18,131353,0
688567.sh,2021-11-02,35.14,36.69,34.84,35.08,114247,1
688567.sh,2021-11-03,35.2,35.57,34.29,35.3,64693,2
688567.sh,2021-11-04,35.4,36.4,35.32,35.9,72035,3
688567.sh,2021-11-05,35.92,36.55,35.21,35.36,57111,4
688567.sh,2021-11-08,35.38,35.67,34.44,35.04,75754,0
688567.sh,2021-11-09,35.28,35.47,34.19,34.49,77211,1
688567.sh,2021-11-10,34.3,34.85,33.7,34.54,58107,2
688567.sh,2021-11-11,33.57,34.13,31.86,32.06,157489,3
688567.sh,2021-11-12,32.06,34.21,31.84,33.8,96639,4
688567.sh,2021-11-15,33.76,34.75,32.63,34.4,86040,0
